quote_date,expiration,strike,log_moneyness,iv_fit,density_nonnegative
2025-10-01,2025-10-02,460.25,0.3737077655528036,2.592402913566047,True
2025-10-01,2025-10-02,466.08898305084745,0.3611010190162279,2.5322614435437782,True
2025-10-01,2025-10-02,471.9279661016949,0.34865122591849046,2.471673468735583,True
2025-10-01,2025-10-02,477.7669491525424,0.33635452614184763,2.410602907895122,True
2025-10-01,2025-10-02,483.60593220338984,0.32420720024419997,2.3490125280916083,True
2025-10-01,2025-10-02,489.4449152542373,0.31220566270546085,2.286863957662428,True
2025-10-01,2025-10-02,495.28389830508473,0.30034645557441486,2.2241177343827614,True
2025-10-01,2025-10-02,501.1228813559322,0.2886262424878973,2.160733400469667,True
2025-10-01,2025-10-02,506.9618644067797,0.2770418030364176,2.0966696592820413,True
2025-10-01,2025-10-02,512.8008474576271,0.2655900274524188,2.031884612591323,False
2025-10-01,2025-10-02,518.6398305084746,0.2542679115992527,1.9663361021932537,False
2025-10-01,2025-10-02,524.478813559322,0.24307255224067378,1.8999821854871488,False
2025-10-01,2025-10-02,530.3177966101695,0.23200114257221188,1.8327817814656553,False
2025-10-01,2025-10-02,536.1567796610169,0.22105096799722015,1.7646955311806554,False
2025-10-01,2025-10-02,541.9957627118644,0.2102194021316933,1.6956869247551003,False
2025-10-01,2025-10-02,547.8347457627119,0.19950390302314946,1.6257237545304528,False
2025-10-01,2025-10-02,553.6737288135594,0.18890200956995656,1.5547799594354288,False
2025-10-01,2025-10-02,559.5127118644068,0.17841133812848453,1.4828379266355232,False
2025-10-01,2025-10-02,565.3516949152543,0.16802957929638676,1.409891309232931,False
2025-10-01,2025-10-02,571.1906779661017,0.15775449486114726,1.335948398098233,False
2025-10-01,2025-10-02,577.0296610169491,0.1475839149038107,1.2610360455590381,False
2025-10-01,2025-10-02,582.8686440677966,0.13751573504852044,1.1852040723721045,False
2025-10-01,2025-10-02,588.707627118644,0.12754791384914135,1.1085299935478616,False
2025-10-01,2025-10-02,594.5466101694915,0.11767847030485198,1.0311237771212383,False
2025-10-01,2025-10-02,600.3855932203389,0.1079054814971426,0.953132221840828,False
2025-10-01,2025-10-02,606.2245762711864,0.09822708034116616,0.874742448334256,False
2025-10-01,2025-10-02,612.0635593220339,0.08864145344486975,0.7961840205293867,False
2025-10-01,2025-10-02,617.9025423728814,0.07914683906976254,0.71772946781667,True
2025-10-01,2025-10-02,623.7415254237288,0.06974152518758364,0.6396936339828095,True
2025-10-01,2025-10-02,629.5805084745763,0.06042384762751292,0.5624336088434881,True
2025-10-01,2025-10-02,635.4194915254237,0.051192188308905415,0.48635357726514933,True
2025-10-01,2025-10-02,641.2584745762712,0.042044973554855036,0.41192431721620415,True
2025-10-01,2025-10-02,647.0974576271186,0.032980672482195134,0.3397401861488508,True
2025-10-01,2025-10-02,652.9364406779661,0.0239977954638122,0.2706737525448591,True
2025-10-01,2025-10-02,658.7754237288136,0.015094892659411658,0.2063093829758816,True
2025-10-01,2025-10-02,664.6144067796611,0.0062705526111110285,0.15025007256695744,True
2025-10-01,2025-10-02,670.4533898305085,-0.0024765990995423877,0.11173434565237235,True
2025-10-01,2025-10-02,676.292372881356,-0.011147901136324993,0.10698283928812712,True
2025-10-01,2025-10-02,682.1313559322034,-0.019744657637864402,0.1364163160157565,True
2025-10-01,2025-10-02,687.9703389830509,-0.028268139394766335,0.18207773930663465,True
2025-10-01,2025-10-02,693.8093220338983,-0.03671958497699863,0.23300409020504068,True
2025-10-01,2025-10-02,699.6483050847457,-0.045100201814031855,0.2851231085730734,True
2025-10-01,2025-10-02,705.4872881355932,-0.0534111672300943,0.336889470965102,False
2025-10-01,2025-10-02,711.3262711864406,-0.061653629436760005,0.3876594797072211,False
2025-10-01,2025-10-02,717.1652542372881,-0.06982870848496366,0.43715337663036014,False
2025-10-01,2025-10-02,723.0042372881355,-0.07793749717841543,0.4852566484468928,False
2025-10-01,2025-10-02,728.843220338983,-0.08598106195027985,0.5319367366926737,False
2025-10-01,2025-10-02,734.6822033898305,-0.0939604437048765,0.5772041503520925,False
2025-10-01,2025-10-02,740.521186440678,-0.10187665862606421,0.6210926684838746,False
2025-10-01,2025-10-02,746.3601694915254,-0.10973069895387982,0.6636485611843214,False
2025-10-01,2025-10-02,752.1991525423729,-0.11752353373091459,0.7049244197107047,False
2025-10-01,2025-10-02,758.0381355932203,-0.12525610951983238,0.744975500493368,False
2025-10-01,2025-10-02,763.8771186440679,-0.13292935109335952,0.7838575146818174,False
2025-10-01,2025-10-02,769.7161016949153,-0.14054416209800244,0.8216252845734998,False
2025-10-01,2025-10-02,775.5550847457628,-0.14810142569268633,0.858331936980079,False
2025-10-01,2025-10-02,781.3940677966102,-0.15560200516344133,0.894028437089778,True
2025-10-01,2025-10-02,787.2330508474577,-0.16304674451520806,0.9287633416157418,True
2025-10-01,2025-10-02,793.0720338983051,-0.17043646904177584,0.9625826942452601,True
2025-10-01,2025-10-02,798.9110169491526,-0.1777719858748162,0.9955300133655868,True
2025-10-01,2025-10-02,804.75,-0.1850540845129268,1.0276463389937367,True
2025-10-01,2025-10-03,316.5,0.74815434408176,3.710881270475666,True
2025-10-01,2025-10-03,325.09322033898303,0.7213656126523776,3.6203555321246883,True
2025-10-01,2025-10-03,333.6864406779661,0.6952758340037213,3.5302884705191695,True
2025-10-01,2025-10-03,342.27966101694915,0.669849460484311,3.4406004357314997,True
2025-10-01,2025-10-03,350.8728813559322,0.6450535891755059,3.3512150978395594,True
2025-10-01,2025-10-03,359.46610169491527,0.6208577058717052,3.2620591727719974,True
