metric,raw,repaired,improvement_pct
rmse_mean,0.05317171363360758,0.05414566792916624,-1.8317150774374606
v0_std,0.008230646133379762,0.008176061314929397,0.6631899557556414
v0_mean,0.03291792310582428,0.0330247554311219,
kappa_std,2.2164603852184936,1.4147023698218877,36.17290075399071
kappa_mean,14.508914175199083,14.640842567114918,
theta_std,0.011148765072412163,0.010622005960757422,4.724820266938951
theta_mean,0.05214883034658681,0.05088223705139113,
xi_std,0.23549754665756903,0.11013608971236458,53.2325957210456
xi_mean,4.941663357653285,4.968529813598577,
rho_std,0.08102155763273247,0.07979446768767318,1.5145227775324261
rho_mean,-0.6245067631293624,-0.6154856981170308,
feller_satisfaction_pct,0.0,0.0,0.0
