quote_date,data_type,n_options,spot,v0,kappa,theta,xi,rho,rmse,mae,feller_satisfied,feller_ratio,success
2025-10-01,raw,143,668.795,0.025301390705148186,14.99999999973511,0.04937295760624651,4.999999804434707,-0.660083896733545,0.054858181678824974,0.042448315249039976,False,0.059247553761155536,True
2025-10-01,repaired,143,668.795,0.025158424746394202,14.99999994100071,0.04909884959138853,4.999999917604682,-0.6587344821972732,0.05620444332093209,0.04329213493297068,False,0.05891862121976985,True
2025-10-02,raw,144,669.205,0.025158221170241107,14.99999999986587,0.0478724910092091,4.999999954021543,-0.6190220418178853,0.0573564792511952,0.045022697132299054,False,0.05744699026706681,True
2025-10-02,repaired,144,669.205,0.02577549573171238,14.999999999999858,0.04696348699585979,4.99999999999972,-0.6133344863073589,0.05878141225708359,0.04638450050576672,False,0.05635618439503751,True
2025-10-03,raw,142,669.835,0.021675699001677845,14.999999999915326,0.04533158703612341,4.99999999955372,-0.611625852958761,0.05946860385301361,0.04660449872813387,False,0.05439790445275171,True
2025-10-03,repaired,142,669.835,0.021845850999767987,14.999999970240742,0.04513197110924963,4.999999995890611,-0.6109044997507591,0.06031228956688102,0.04716848381035339,False,0.05415836531267516,True
2025-10-06,raw,142,671.855,0.027697839399602128,14.999958366695441,0.052794293725396554,4.9999941404717605,-0.655538818160198,0.051691064065458724,0.039565749827658085,False,0.06335312511808636,True
2025-10-06,repaired,142,671.855,0.02769382058529837,14.997228065611642,0.051504988293144364,4.998975502312028,-0.6497117710194967,0.05252058390590125,0.040231284452193636,False,0.06181989561653202,True
2025-10-07,raw,144,669.305,0.030506712628027833,14.999999999718243,0.05889611939591148,4.999999988591273,-0.6774498636608356,0.04400972810137853,0.0337962789188572,False,0.07067534359629252,True
2025-10-07,repaired,144,669.305,0.0306274740435519,14.999999999999815,0.05838135694347457,4.999999999992776,-0.6740019344458523,0.04469578388881666,0.034343177825011485,False,0.07005762833237107,True
2025-10-08,raw,143,672.745,0.023844524415255555,14.999999989949183,0.05104345553513987,4.999999890295279,-0.6311570257257256,0.05609086702953885,0.04399622528211315,False,0.061252149288985515,True
2025-10-08,repaired,143,672.745,0.02365919534918491,14.999999999995278,0.0507204564871015,4.999999999414916,-0.6286242457330075,0.05673207469277542,0.0444596371102163,False,0.06086454779874699,True
2025-10-09,raw,144,670.945,0.02249057651903424,14.999999880865078,0.03945248370036541,4.999999452558289,-0.5545494152124982,0.06278671034038608,0.050349045348434936,False,0.04734299043143551,True
2025-10-09,repaired,145,670.945,0.02314515098718328,14.999999951646911,0.03904936922375365,4.99999960291922,-0.5532806444844471,0.06282936650369872,0.0500137127461928,False,0.04685925036021454,True
2025-10-10,raw,147,656.075,0.03432214951927623,14.999999988162807,0.03243152814465069,4.999999859433031,-0.459665530425318,0.07067502717552547,0.059800877283944766,False,0.038917835931093825,True
2025-10-10,repaired,147,656.075,0.03628932967583229,14.999999999999282,0.035285544252291384,4.99999999999662,-0.4765672671201035,0.06819361444355132,0.05768235686234785,False,0.04234265310280489,True
2025-10-13,raw,140,663.405,0.0450544328498117,4.36061812061792,0.07434512316650348,3.8828922504053756,-0.732189319173545,0.04586766646075123,0.03677294100283549,False,0.043005089703247824,True
2025-10-13,repaired,140,663.405,0.03786403823056142,9.51994417326684,0.08251090940857372,3.917528203974205,-0.7224998913073468,0.04162058339703756,0.02883371361455185,False,0.10236500392391533,True
2025-10-14,raw,143,660.86,0.037573467476042524,14.999999999977529,0.058593437897721576,4.9999999996256665,-0.6776185190102019,0.04653626371682243,0.03814441057159763,False,0.07031212548768863,True
2025-10-14,repaired,143,660.86,0.03775845325874577,14.999999854233856,0.05790216682764488,4.999999468605808,-0.6736193736450177,0.04725843433921939,0.03854394954786367,False,0.06948261428702208,True
2025-10-15,raw,145,664.775,0.03888474074372142,14.999999998807834,0.06462271260820612,4.999999991669588,-0.6812159652419789,0.04676045437062088,0.03452437128031952,False,0.0775472553820843,True
2025-10-15,repaired,145,664.775,0.03883360132240644,14.999999999970262,0.06428648609385733,4.999999998950385,-0.6792659513394596,0.04061946488380621,0.032822398439484604,False,0.07714378334486435,True
2025-10-16,raw,143,659.455,0.057044424955473544,14.999953658590025,0.06796901619461751,4.999986829288831,-0.6702542025798905,0.04481064514026046,0.03753496827045317,False,0.08156299714764245,True
2025-10-16,repaired,143,659.455,0.05723500230548021,14.9999999941263,0.06608831646471573,4.999999844789461,-0.6609343462130228,0.04646192854226306,0.039138298591627624,False,0.07930598465025401,True
2025-10-17,raw,146,664.685,0.03646746816411143,14.999996647358408,0.053277113328733666,4.999986652635056,-0.6515937904340269,0.054514437645416684,0.0439885122281131,False,0.06393286303860148,True
2025-10-17,repaired,146,664.685,0.036812861717968125,14.999997083674092,0.05460026880309416,4.999975368253147,-0.6568204465440282,0.05315843591294293,0.04269534026428841,False,0.0655209553817832,True
2025-10-20,raw,142,671.515,0.036142924915054234,14.344499509918293,0.059099226116729624,4.775404536299957,-0.6786027986497989,0.04452364240549908,0.033447452671406634,False,0.07434929493059382,True
2025-10-20,repaired,142,671.515,0.036904152951516396,14.999908912193117,0.06077961038275452,4.999198054234439,-0.6900040262377464,0.042664334774607175,0.031868475926359385,False,0.0729584911811843,True
2025-10-21,raw,142,671.975,0.03234145220654923,14.999999999934765,0.06597858920052363,4.999999999550341,-0.7176158511397833,0.03745163746289872,0.0277101872678964,False,0.0791743070545246,True
2025-10-21,repaired,142,671.975,0.03247698727235158,14.999999999059746,0.06624261095079317,4.99999999863527,-0.7186081677065874,0.03765605442673228,0.027788208426717958,False,0.07949113317936257,True
